Date,Open,High,Low,Close,Volume
2001-08-14,1800.05,1800.05,1800.05,1800.05,32538500.0
2001-08-15,1776.53,1776.53,1776.53,1776.53,41836200.0
2001-08-16,1751.02,1751.02,1751.02,1751.02,82603104.0
2001-08-17,1681.5,1681.5,1681.5,1681.5,86514704.0
2001-08-20,1680.36,1680.36,1680.36,1680.36,41024600.0
2001-08-21,1695.54,1695.54,1695.54,1695.54,58506800.0
2001-08-22,1716.38,1716.38,1716.38,1716.38,46807300.0
2001-08-23,1705.07,1705.07,1705.07,1705.07,23681300.0
2001-08-24,1736.81,1736.81,1736.81,1736.81,41449400.0
2001-08-27,1736.96,1736.96,1736.96,1736.96,30585100.0
2001-08-28,1709.49,1709.49,1709.49,1709.49,32448900.0
2001-08-29,1716.85,1716.85,1716.85,1716.85,35839600.0
2001-08-30,1706.83,1706.83,1706.83,1706.83,48579100.0
2001-08-31,1698.17,1698.17,1698.17,1698.17,25266200.0
2001-09-03,1680.67,1680.67,1680.67,1680.67,4641400.0
2001-09-04,1665.66,1665.66,1665.66,1665.66,31940100.0
2001-09-05,1630.17,1630.17,1630.17,1630.17,91571504.0
2001-09-06,1571.94,1571.94,1571.94,1571.94,94680000.0
2001-09-07,1559.29,1559.29,1559.29,1559.29,75922200.0
2001-09-10,1552.61,1552.61,1552.61,1552.61,29586100.0
2001-09-11,1440.27,1440.27,1440.27,1440.27,14467800.0
2001-09-12,1444.83,1444.83,1444.83,1444.83,
2001-09-13,1442.7,1442.7,1442.7,1442.7,
2001-09-14,1440.27,1440.27,1440.27,1440.27,
2001-09-17,1394.56,1394.56,1394.56,1394.56,83573600.0
2001-09-18,1394.89,1394.89,1394.89,1394.89,73025000.0
2001-09-19,1399.66,1399.66,1399.66,1399.66,63379300.0
2001-09-20,1341.72,1341.72,1341.72,1341.72,52937500.0
2001-09-21,1346.99,1346.99,1346.99,1346.99,73821200.0
2001-09-24,1420.01,1420.01,1420.01,1420.01,58143000.0
2001-09-25,1412.53,1412.53,1412.53,1412.53,43643000.0
2001-09-26,1413.9,1413.9,1413.9,1413.9,40680700.0
2001-09-27,1412.52,1412.52,1412.52,1412.52,72340704.0
2001-09-28,1430.03,1430.03,1430.03,1430.03,85533600.0
2001-10-01,1428.56,1428.56,1428.56,1428.56,49342200.0
2001-10-02,1426.96,1426.96,1426.96,1426.96,44024600.0
2001-10-03,1437.74,1437.74,1437.74,1437.74,62794500.0
2001-10-04,1470.58,1470.58,1470.58,1470.58,68060096.0
2001-10-05,1464.81,1464.81,1464.81,1464.81,45194600.0
2001-10-08,1472.72,1472.72,1472.72,1472.72,37091000.0
2001-10-09,1486.9,1486.9,1486.9,1486.9,47736200.0
2001-10-10,1538.79,1538.79,1538.79,1538.79,73738896.0
2001-10-11,1577.61,1577.61,1577.61,1577.61,75663904.0
2001-10-12,1531.11,1531.11,1531.11,1531.11,47177000.0
2001-10-15,1509.9,1509.9,1509.9,1509.9,40861100.0
2001-10-16,1526.05,1526.05,1526.05,1526.05,38299200.0
2001-10-17,1526.23,1526.23,1526.23,1526.23,37835500.0
2001-10-18,1517.52,1517.52,1517.52,1517.52,37155100.0
2001-10-19,1542.65,1542.65,1542.65,1542.65,41938500.0
2001-10-22,1527.74,1527.74,1527.74,1527.74,24291900.0
2001-10-23,1531.57,1531.57,1531.57,1531.57,34546500.0
2001-10-24,1572.58,1572.58,1572.58,1572.58,83250200.0
2001-10-25,1569.09,1569.09,1569.09,1569.09,36098900.0
2001-10-26,1553.42,1553.42,1553.42,1553.42,37428400.0
2001-10-29,1531.01,1531.01,1531.01,1531.01,33530000.0
2001-10-30,1509.26,1509.26,1509.26,1509.26,50372900.0
2001-10-31,1519.04,1519.04,1519.04,1519.04,48776100.0
2001-11-01,1533.52,1533.52,1533.52,1533.52,56576800.0
2001-11-02,1541.29,1541.29,1541.29,1541.29,30186200.0
