Date,Open,High,Low,Close,Volume
2018-01-30,2363.12,2363.12,2312.71,2336.98,322226304.0
2018-01-31,2359.92,2408.81,2345.39,2361.57,363543008.0
2018-02-01,2354.98,2391.86,2351.09,2377.21,361283392.0
2018-02-02,2352.54,2352.95,2290.25,2295.77,292043904.0
2018-02-05,2291.03,2294.82,2208.38,2224.36,295389600.0
2018-02-06,2200.22,2291.85,2171.95,2265.23,499795488.0
2018-02-07,2281.27,2291.5,2222.61,2237.37,352139392.0
2018-02-08,2229.8,2257.38,2165.52,2189.67,353435392.0
2018-02-09,2182.15,2202.66,2117.31,2162.38,374533312.0
2018-02-12,2160.19,2160.19,2160.19,2160.19,
2018-02-13,2160.19,2160.19,2160.19,2160.19,
2018-02-14,2165.23,2293.18,2165.23,2256.92,349628000.0
