Date,Bid Price
2018-02-27,6.544
2018-02-28,6.588
2018-03-01,6.933
2018-03-02,6.947
2018-03-05,6.903
2018-03-06,6.915
2018-03-07,6.946
2018-03-08,6.916
2018-03-09,6.89
2018-03-12,6.89
2018-03-13,6.758
2018-03-14,6.736
2018-03-15,6.709
2018-03-16,6.692
2018-03-20,6.699
2018-03-21,6.709
2018-03-22,6.736
2018-03-23,6.734
2018-03-26,6.723
2018-03-27,6.658
2018-03-28,6.506
2018-04-02,6.496
2018-04-03,6.521
2018-04-04,6.513
2018-04-05,6.483
2018-04-06,6.438
2018-04-09,6.444
2018-04-10,6.429
2018-04-11,6.381
2018-04-12,6.387
2018-04-13,6.415
2018-04-16,6.376
2018-04-17,6.394
2018-04-18,6.393
2018-04-19,6.394
2018-04-20,6.433
2018-04-23,6.439
2018-04-24,6.464
2018-04-25,6.465
2018-04-26,6.452
2018-04-27,6.435
2018-04-30,6.429
2018-05-02,6.446
2018-05-03,6.453
2018-05-04,6.469
2018-05-07,6.474
2018-05-08,6.487
2018-05-09,6.586
2018-05-10,6.538
2018-05-11,6.531
2018-05-15,6.548
2018-05-16,6.585
2018-05-17,6.62
2018-05-18,6.68
2018-05-21,6.669
2018-05-22,6.644
2018-05-23,6.614
2018-05-24,6.573
2018-05-25,6.601
2018-05-28,6.608
2018-05-29,6.616
